co_nombre,co_finalidad,co_direccion,co_telefono1,co_contacto1,co_telefono2,co_contacto2,co_telefono3,co_contacto3,co_website,co_banco,co_cuenta_destino,co_pago,co_vendedor,co_sonido,co_comentarios,co_fecha,co_fecha_act,co_estado,co_operador,co_terminal,co_mora,co_comision,co_rnc
CENTRO DE OBSTETRICIA Y GINECOLOGIA S.A..,CLINICA DEDICADA A LA GINECOLOGIA,AVENIDA INDEPENDENCIA . ESQUINA JOAQUIN PEREZ #451,8092217100,REC,,,,,,2,300118368,3,0,NULL,,45:48.8,45:48.8,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CERVEZERIA NACIONAL DOMINICANA,0,,0,0,,,,,,1,24472460019,2,0,NULL,,44:16.6,44:16.6,1,cgonzalezz,DESKTOP-DFEQDJR,0,0,131-37045-4
CESAR IGLESIAS. S.A.,PRODUCTOS DE CONSUMO MASIVOS,,0,0,,,,,,1,24472460019,2,5,NULL,,30:55.1,12:15.0,1,cgonzalezz,DESKTOP-DFEQDJR,0,0,131-37045-4
CHIC CLUB VACACIONES,HOTELERIA,uvero alto,0,0,,,,,,2,300118368,2,0,NULL,,52:50.8,23:16.4,0,opaulino,SERVIDOR,NULL,NULL,NULL
CLARO S.A,COMPA벨A DE TELECOMUNICACIONES,AVE. JOHN F. KENNEDY #54,8092201111,CENTRAL,,,,,,5,795319581,2,0,NULL,,42:03.2,20:44.9,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CLIENTES SEGUIMIENTO CESARINA,0,0,0,0,,,,,,1,24472460019,2,5,NULL,,52:52.7,46:47.3,0,opaulino,GERENCIA,0,0.5,131-37045-4
CLIENTES SEGUIMIENTO CK. MOISES,HOTELERIA,HIGUEY RD,8094550712,809554000,,,,,,2,9602119269,2,2,NULL,,06:21.7,47:18.6,0,YJIMENEZZ,DESKTOP-5UNDJ8S,0,0.5,131-37045-4
CLIENTES SEGUIMIENTO JEISY,0,0,0,0,,,,,,1,24472460019,2,5,NULL,,45:24.6,47:31.8,0,opaulino,GERENCIA,0,0.5,131-37045-4
CLIENTES SEGUIMIENTO MOISES,SEGUIMIENTO,0,0,0,,,,,,2,9602119269,2,2,NULL,,48:39.6,47:02.3,0,opaulino,GERENCIA,0,0.5,131-37045-4
CLIENTES SIN DEUDAS,OOOOOOOOOO,OOOOOOOOOOO,0,OOOOOOOOOO,,,,,,7,,2,1,NULL,,54:57.4,25:50.8,1,opaulino,GERENCIA,0,0.5,131-37045-4
COBROS MENSUALES BANCO POPULAR,VENTAS DE PRODUCTOS NATURALES ,KM.13. AUTPISTA DUARTE,8095617565,FIODALIZA DE LEON ,,,,,,5,795319581,3,0,NULL,,36:46.4,57:54.6,0,admin,DESKTOP-GSN33LR,NULL,NULL,NULL
COBROS MENSUALES BANRESERVAS ,SERVICIOS PUBLICOS,av. leopordo navarro esq. francia,8096837777,,2533,,,,,2,7900004964,3,0,NULL,,58:21.9,58:47.1,0,admin,DESKTOP-GSN33LR,NULL,NULL,NULL
COLEGIO DON BOSCO,EDUCACION,CALLE SAN JUAN BOSCO #27 ,8096822237,REC,,,,,,2,300118368,3,0,NULL,,17:13.9,20:44.3,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
CONJELADOS DEL CARIBE BHD,DISTRIBUCION (GRUPO ALONSO),BAVARO,0,0,,,,,,1,11387790035,2,0,NULL,,26:57.8,25:08.2,0,OPAULINO,APPSERVER,NULL,NULL,NULL
CONSORCIO REMIX,CONSTRUCCION,BAVARO,0,0,,,,,,5,795319581,3,0,NULL,,52:13.7,46:12.9,0,admin,DELL-PC,NULL,NULL,NULL
CONSORCIO REMIX MENSUAL,CONSTRUCCION,bavaro,0,0,,,,,,5,795319581,3,0,NULL,,33:30.2,28:44.8,0,opaulino,APPSERVER,NULL,NULL,NULL
CONSTRUTORA MARIAL S.A,CONSTRUCION Y EXCAVACIONES., Ciudad Sanitaria Dr. Luis E. Aybar. en la Calle Federico Vel맠quez No.1. Barrio Mejoramiento Social. de la ciudad de Santo Domingo. DN.,8096848690,REC,,,,,,2,300118368,2,0,NULL,,54:54.2,33:11.9,1,Jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CXC REPRESENTANTE ,0,0,0,0,,,,,,7,,2,0,NULL,,01:46.2,36:09.5,0,rrodriguez,APPSERVER,NULL,NULL,NULL
DEINSA S.A.,EQUIPOS INDUSTRIALES,CALLE CENTRAL #8 ZONA INDUSTRIAL,,,,,,,,1,24472460019,2,0,NULL,,00:01.5,02:41.9,1,mmoris,OPAULINO0,0,0,131-37045-4
DEINSA. S.A ..,EQUIPOS INDUTRIALES,CALLE CENTRAL #8 ZONA INDUSTRIAL DE HERRERA,8099999999,RES,,,,,,5,795319581,2,0,NULL,,58:44.6,58:44.6,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
DEPOSITOS MENSUALES ,0,0,0,0,,,,,,5,795319581,3,0,NULL,,53:49.3,29:40.9,0,admin,SERVIDOR,NULL,NULL,NULL
DEPOSITOS QUINCENALES,AAAAAAAAAAAA,aaaaaaaaaaaaaaaaaa,1111111111,aaaaaaaaaaaaa,,,,,,7,,2,0,NULL,,44:59.6,25:42.6,0,admin,SERVIDOR,NULL,NULL,NULL
DIMARINE SRL,DISTRIBUIDORES DE SALDINA,CALLE H #41 ENTRANDO POR EL MERCADITO DE PINTURA,8297552645,SECRETARIA,,,,,,1,24472460019,2,0,NULL,,54:28.5,54:28.5,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
DISTRIBUIDORA CORRIPIO. SAS.,VENTA GENERALES ,,,,,,,,,5,795319581,2,0,NULL,,58:18.5,58:18.5,1,jramirez,DESKTOP-GSN33LR,0,0,131-37045-4
DOMICILIARIO MENSUALES POPULAR,0,0,0,0,,,,,,5,795319581,3,0,NULL,,55:41.7,32:07.0,0,admin,SERVIDOR,NULL,NULL,NULL
DOMICILIARIOS KARIMA,HOTELERIA,babaro,0,0,,,,,,2,7900004964,2,0,NULL,,59:44.9,11:23.4,0,admin,DESKTOP-GSN33LR,NULL,NULL,NULL
DOMICILIARIOS MENSUALES BANRESERVAS,0,0,0,0,,,,,,2,7900004964,3,0,NULL,,07:07.2,52:10.2,0,admin,SERVIDOR,NULL,NULL,NULL
DOMICILIARIOS MENSUALES BANRESERVASS,DIVERSOS,0,0,0,,,,,,7,,3,0,NULL,,45:52.3,32:29.8,0,admin,GH-PC,NULL,NULL,NULL
DOMICILIARIOS QUINCENALES BANRESERVAS,DIVERSOS,0,0,0,,,,,,7,,2,0,NULL,,05:31.6,33:11.5,0,admin,GH-PC,NULL,NULL,NULL
DOMICILIARIOS QUINCENALES POPULAR ,HOTELERIA,bavaro,11111111,11111111,,,,,,5,795319581,2,0,NULL,,55:10.0,12:59.9,0,admin,DESKTOP-GSN33LR,NULL,NULL,NULL
DREAMS DOMINICUS LA ROMANA,HOTELERIA,la romana,0,0,,,,,,2,300118368,2,0,NULL,,03:26.5,09:12.7,1,mmoris,DESKTOP-GSN33LR,0,0.5,131-37045-4
DREAMS PUNTA CANA,HOTELERIA,CABEZA DE TORO,0,0,,,,,,2,300118368,2,0,NULL,,59:32.5,25:58.4,0,opaulino,APPSERVER,NULL,NULL,NULL
DREAMS UVERO ALTO,HOTELERIA,UVERO ALTO,0,TOMAS,,,,,,2,300118368,2,4,NULL,,46:04.4,26:14.7,0,admin,DELL-PC,NULL,NULL,NULL
ECOCHEM SRL,FABRICACION DE PRODUCTO QUIMICO DE LIMPIEZA,AVENIDA MONUMENTAL SUR . AL LADO DE INCA ,0,0,,,,,,2,300118368,2,2,NULL,,25:30.5,24:55.4,1,mmoris,DESKTOP-ISIVUEK,0,0.5,131-37045-4
ECOCHEM..SRL,FABRICACION DE PRODUCTOS QUIMICOS DE LIMPIEZA.,AVENIDA MONUMENTAL SUR . AL LADO DE INCA,8095603666,REC,,,,,,1,24472460019,2,0,NULL,ECHOCHEM CARTERA BANCO DEL RESERVAS,35:42.4,43:49.2,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
EDEESTE,SERVICIOS ELECTRICOS,0,0,0,,,,,,5,795319581,2,0,NULL,,21:09.9,30:25.1,0,crincon,GH-PC,NULL,NULL,NULL
EDE-ESTE,SERVICIO ELECTRICO,0,0,0,,,,,,5,795319581,2,0,NULL,,26:13.9,26:13.9,1,cgonzalezz,DESKTOP-DFEQDJR,0,0,131-37045-4
EDEN ROC AT CAP CANA,HOTELERIA,AT CAP CANA,0,0,,,,,,1,24472460019,2,5,NULL,,13:41.0,55:06.5,0,opaulino,OPAULINO,0,0.5,131-37045-4
EDEN ROCK AT CAP CANA,HOTELERIA,AT CAP CANA,0,0,,,,,,1,24472460019,2,0,NULL,,55:04.4,55:00.0,1,cgonzalezz,MOISESSS,0,0,131-37045-4
EDEN ROCK AT CAP CANA FASE,0,,0,0,,,,,,1,24472460019,2,0,NULL,,54:26.9,08:11.0,1,cgonzalezz,MOISESSS,0,0,131-37045-4
EDEN ROCK PROBLEMATICOS,0,,0,0,,,,,,1,24472460019,2,0,NULL,,13:19.6,57:37.6,1,cgonzalezz,MOISESSS,0,0,131-37045-4
EJERCITO GUARDIA NACIONAL,MILITARES DEL PAIS,HIGUEY - LA ALTAGRACIA,8090000000,NO APLICA,,,,,,2,300118368,3,2,NULL,,31:57.8,47:03.1,1,ibarinass,SERVIDOR,0,0.5,131-37045-4
EL CHICC,HOTELERIA,uvero alto,0,0,,,,,,5,795319581,2,0,NULL,,43:45.4,43:45.4,1,mmoris,DESKTOP-VK5UM4E,0,0.5,131-37045-4
EL PORTICO FISHING LODGE CAP CANA,RESTAURANTE,CAP CANA,0,0,,,,,,1,24472460019,2,0,NULL,,39:31.7,39:31.7,1,cgonzalezz,DESKTOP-O41JRMA,0,0,131-37045-4
EXCELLENCE EN CARMEN,HOTELERIA,bavaro punta cana,,,,,,,,5,795319581,2,0,NULL,,08:11.8,40:25.8,0,mseverino,OPAULINO,NULL,NULL,NULL
FERRETERIA  DETALLISTA,FERRETERIA,Carretera mella Higuey,0,0,,,,,,5,795319581,2,2,NULL,,55:45.1,55:45.1,1,flor,DESKTOP-SUMFLTC,0,0.5,131-37045-4
FERSAN S.A. ( DIVISION SACOS Y CORDELERIAS),FABRICACION DE SACOS ( DIVISION SACOS),PROLONGACION 27 DE FEBRERO FRENTE A LA BOHEMIA ,8095378241,REC.,,,,,,1,24472460019,1,0,NULL,,34:38.8,21:48.8,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
FRITO LAY S.A,DISTRIBUCION DE PRODUCTOS COMESTIBLE . PICADERA . GALLETAS.,MANZANA 26 LAS COBAS .,8095603344,REC,,,,,,5,795319581,2,2,NULL,,29:25.3,29:25.3,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
FRUTOS FERRER SRL.,SANTO DOMINGO,#NAME?,8095181321,rec.,,,,,,5,795319581,2,0,NULL,,21:10.1,37:55.0,1,mmoris,DESKTOP-HOEK5U4,0,0.5,131-37045-4
GESTION DE COBROS BHD QUINCENAL,0,0,0,0,,,,,,1,24472460019,2,5,NULL,,51:51.8,51:53.1,1,flor,DESKTOP-MO25F8N,0,0,111-11111-1
GESTION DE COBROS CLIENTES LABORANDO,1.11E+20,1.11E+14,1111111111,1.11E+11,,,,,,1,24472460019,2,2,NULL,,31:35.1,31:35.1,1,flor,DESKTOP-MO25F8N,0,0,111-11111-1
GESTION DE COBROS CLIENTES NO LABORANDO,ZZZZZZZZZZZZZZZ,ZZZZZZZZZZZZZ,1111111111,1.11E+14,,,,,,1,24472460019,2,2,NULL,,45:24.1,45:24.1,1,flor,SERVER-PC,0,0,111-11111-1
GESTION DE COBROS EN EFECTIVO,0,0,0,0,,,,,,2,300118368,2,0,NULL,,47:24.2,47:24.2,1,flor,DESKTOP-MO25F8N,0,0,000-00000-0
GESTION DE COBROS POPULAR QUINCENAL,0,Bavaro punta cana,0,0,,,,,,1,24472460019,2,0,NULL,,15:22.0,51:30.9,1,cgonzalezz,MOISESSS,0,0,131-37045-4
GESTION DE COBROS RECAUDOS POPULAR,OOOOOOO,OOOOOOOO,11111,111111111,,,,,,5,795319581,2,0,NULL,,37:28.7,37:28.7,1,flor,DESKTOP-MO25F8N,0,0,111-11111-1
GESTION DE COBROS RECAUDOS RESERVAS,0,0,0,0,,,,,,2,300118368,2,2,NULL,,21:35.1,45:43.6,1,flor,DESKTOP-MO25F8N,0,0,111-11111-1
GESTION DE COBROS RESERVAS QUINCENAL,1.11E+11,1.11E+13,1111111111,1.11E+15,,,,,,2,300118368,2,5,NULL,,39:26.7,47:01.3,1,flor,DESKTOP-MO25F8N,0,0,111-11111-1
GESTION P/R BANRESERVAS MENSUALES,0,0,0,0,,,,,,5,795319581,3,0,NULL,,26:57.3,21:58.6,0,OPAULINO,COBROS01,NULL,NULL,NULL
GESTION P/R BANRESERVAS QUINCENAL,0,0,0,0,,,,,,2,300118368,2,0,NULL,,02:29.1,23:01.6,0,opaulino,APPSERVER,NULL,NULL,NULL
GESTION P/R BHD QUINCENAL,0,0,0,0,,,,,,1,11387790035,2,0,NULL,,09:30.4,23:59.9,0,rrodriguez,COBROS01,NULL,NULL,NULL
GESTION P/R CEDIMAT QUINCENAL,0,0,0,0,,,,,,2,300118368,2,0,NULL,,45:43.8,24:20.2,0,opaulino,DESKTOP-GSN33LR,NULL,NULL,NULL
GESTION P/R CONGELADOS BHD CARNET,0,0,0,0,,,,,,1,11387790035,2,0,NULL,,42:48.0,24:37.5,0,opaulino,DESKTOP-GSN33LR,NULL,NULL,NULL
GESTION P/R DREAMS UVERO ALTO,HOTELERIA,UVERO ALTO,0,0,,,,,,2,300118368,2,0,NULL,,00:05.1,25:10.1,0,opaulino,SERVIDOR,NULL,NULL,NULL
GESTION P/R INESPRE,0,0,0,0,,,,,,2,300118368,3,0,NULL,,41:38.2,25:50.0,0,opaulino,DESKTOP-GSN33LR,NULL,NULL,NULL
GESTION P/R INESPRE POST VIRTUAL,0,0,0,0,,,,,,2,300118368,3,0,NULL,,01:18.5,26:10.7,0,opaulino,SERVIDOR,NULL,NULL,NULL
GESTION P/R KARISMA,HOTELERIA,UVERO ALTO,0,0,,,,,,2,300118368,2,0,NULL,,49:50.8,26:24.3,0,opaulino,APPSERVER,NULL,NULL,NULL
GESTION P/R KARISMA POST VIRTUAL,HOTELERIA,UVERO ALTO,0,0,,,,,,2,300118368,2,0,NULL,,07:37.9,26:42.0,0,opaulino,APPSERVER,NULL,NULL,NULL
GESTION P/R MENSUALES BANRESERVAS,0,0,0,0,,,,,,2,300118368,3,0,NULL,,00:45.2,26:59.1,0,opaulino,SERVIDOR,NULL,NULL,NULL
GESTION P/R POPULAR QUINCENAL,0,0,0,0,,,,,,5,795319581,2,0,NULL,,26:11.7,28:19.8,0,opaulino,DESKTOP-GSN33LR,NULL,NULL,NULL
GESTION P/R PROGRESO QUINCENAL,0,0,0,0,,,,,,3,,2,0,NULL,,48:08.3,28:35.7,0,opaulino,DESKTOP-GSN33LR,NULL,NULL,NULL
GRUPO PERFESA SRL,IMPORTACION Y EXPORTACION ,AVENIDA PROLONGACION 27 DE FEBRERO #1515 ALAMEDA,8093722955,REC.,,,,,,5,795319581,2,0,NULL,PRODUCTOS CONTANZA,14:16.2,14:16.2,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
GRUPO PUNTA CANA,HOTELERIA,punta cana,1111111111,1111111111,,,,,,5,795319581,2,0,NULL,,31:27.5,31:23.7,0,mavila,USER-PC,NULL,NULL,NULL
HARD ROCK,HOTELERIA,BAVARO,0,0,,,,,,5,795319581,2,0,NULL,,17:08.6,27:02.0,0,crincon,GH-PC,NULL,NULL,NULL
HARD ROCK HOTEL PUNTA CANA ,HOTELERIA,PUNTA CANA,0,0,,,,,,5,795319581,2,0,NULL,,40:06.5,40:06.5,1,cgonzalezz,DESKTOP-LNFTS4A,0,0,131-37045-4
HIPER MERCADO OLE,VENTAS DE PRODUCTOS DE CONSUMO MASIVO,POR CONFIRMAR,22222222,RRRRR,,,,,,1,24472460019,2,0,NULL,,58:19.5,58:19.5,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
HIPERMERCADO OLE,SUPERMERCADO,BAVARO,0,0,,,,,,1,24472460019,2,0,NULL,,54:43.8,54:43.8,1,mmoris,COBROS32,0,0.5,131-37045-4
HIPERMERCADO OLE POPULAR ,SUPERMERCADO,bavaro,0,0,,,,,,5,795319581,2,0,NULL,,04:58.4,22:35.4,1,mmoris,DESKTOP-DFEQDJR,0,0.5,131-37045-4
HOSP. NTRA SE벮RA DE LA ALTAGRACIA,DA ATENCION PERSONALIZADA ,,8099333506,0,,,,,,2,300118368,3,2,NULL,,31:14.5,28:48.4,1,cgonzalez,DESKTOP-K9FT08G,0,0.5,131-37045-4
HOSP. NTRA. SE벮RA DE LA ALTAGRACIA .,0,0,0,0,,,,,,2,300118368,3,0,NULL,,05:00.0,29:13.6,1,mmoris,DESKTOP-VK5UM4E,0,0.5,131-37045-4
HOSP. NTRA. SE벮RA DE LA ALTAGRACIA CANCELADO...,0,0,0,0,,,,,,2,300118368,3,2,NULL,,22:54.7,33:31.0,1,mmoris,SUPERVISOR-001,0,0.5,131-37045-4
HOSP. NTRA. SE벮RA DE LA ALTAGRACIA...,SALUD,higuey la altagracia,0,0,,,,,,2,300118368,3,0,NULL,,05:20.2,46:57.4,1,opaulino,GERENCIA,0,0,000-00000-0
HOSPIFAR,LABORATORIO MADICO,PROLONGACION AVENIDA MONUMENTAL #7 ,8095331084,RECEP.,,,,,,1,24472460019,2,5,NULL,,07:37.1,07:37.1,1,mmoris,DESKTOP-GSN33LR,0,4,131-37045-4
HOSPIFAR RECAUDO,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,36:49.5,36:49.5,1,cgonzalezz,DESKTOP-O41JRMA,0,0,131-37045-4
HOSPITAL HIGUEY TARJETA DEBITO ELIA,SALUD,higuey la altagracia,0,0,,,,,,2,300118368,3,0,NULL,,24:39.8,24:39.8,1,opaulino,DESKTOP-VK5UM4E,0,0,000-00000-0
HOSPITAL MARCELINO VELEZ ,TECNICA EN HEMO DIALISIS NEFROLOGIA ASISTENTES ,isabela guaiar 141,8095606666,,,,,,,2,9602119269,3,5,NULL,clientes del hopital oscar dio la autorizacion para empezar a trabajar aya.,10:00.8,18:54.5,0,mpaulino,MARIAP,0,0.5,131-37045-4
HOSPITAL MATERNO INFANTIL NTRA. SRA. DE LA ALTAGRACIA,SECTOR PUBLICO,HIGUEY. LA ALTAGRACIA,0,0,,,,,,2,300118368,3,2,NULL,,36:17.9,27:07.2,1,opaulino,SERVER-PC,0,0.5,131-37045-4
HOSPITAL N.S DE LA ALTAGRACIA SOBREGIRADO,HOSPITAL,la altagracia,0,0,,,,,,2,9602119269,3,0,NULL,,15:09.7,04:09.2,0,mmoris,DESKTOP-7S68DQC,0,0,131-37045-4
HOSPITAL NUESTRA SE벮RA DE LA ALTAGRACIA 2,0,,0,0,,,,,,2,9602119269,3,2,NULL,,25:22.4,50:31.6,0,mmoris,DESKTOP-K9FT08G,0,0.5,131-37045-4
HOSPITAL NUESTRA SE벮RA DE LA ALTAGRACIA 3,EMERGENCIA,higuey,0,0,,,,,,2,9602119269,3,2,NULL,,43:49.0,50:45.7,0,yjimenezz,DESKTOP-K9FT08G,0,0.5,131-37045-4
IBERIA,SUPERMARCADO,0,0,0,,,,,,5,795319581,2,0,NULL,,22:08.3,59:56.6,0,crincon,GH-PC,NULL,NULL,NULL
IBEROSTAR,HOTELERIA,BAVARO,0,0,,,,,,5,795319581,2,0,NULL,,19:37.6,27:13.6,0,crincon,GH-PC,NULL,NULL,NULL
INCOBRABLES MENSUALES BANRESERVAS,0,0,0,0,,,,,,2,300118368,3,0,NULL,,51:22.7,19:59.3,0,crincon,GH-PC,NULL,NULL,NULL
INCOBRABLES O CANCELADOS,0,0,0,0,,,,,,2,300118368,2,0,NULL,,33:12.4,30:08.2,0,rrodriguez,APPSERVER,NULL,NULL,NULL
INCOBRABLES QUINCENALES BANRESERVAS,0,0,0,0,,,,,,2,300118368,2,0,NULL,,11:40.1,25:07.6,0,opaulino,DESKTOP-GSN33LR,NULL,NULL,NULL
INCOBRABLES QUINCENALES BHD,0,0,0,0,,,,,,1,11387790035,2,0,NULL,,02:17.5,26:14.1,0,admin,SERVIDOR,NULL,NULL,NULL
INCOBRABLES QUINCENALES POPULAR,HOTELRIA,bavaro,8090000000,8090000000,,,,,,5,795319581,2,0,NULL,,58:12.5,28:02.1,0,admin,INGRIS,NULL,NULL,NULL
INDUSTRIAS SAN MIGUEL DEL CARIBE S. A,VENTA DE REFRESCO Y JUGOS ,autopista duerte km 18 santo domingo oeste,8093316231,,,,,,,5,795319581,2,0,NULL,,06:47.5,06:47.5,1,jramirez,DESKTOP-GSN33LR,0,0,131-31704-5
INDUSTRIAS SAN MIGUEL DEL CARIBE S.A..,VENTAS DE REFRESCO Y JUGOS,autopista duarte km 18 santo domingo oeste.,8093316231,rec,,,,,,1,24472460019,2,0,NULL,,36:50.6,36:50.6,1,Jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
INDUSTRIAS SAN MIGUEL DEL CARIBE S.A...,VENTAS DE REFRESCO Y JUGOS .,autopista durate km 18 santo domingo oeste.,8093316231,rec,,,,,,2,300118368,2,0,NULL,,17:39.6,17:39.6,1,Jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
INESPRE INTERESES,0,0,0,0,,,,,,1,24472460019,3,0,NULL,,42:45.4,23:13.8,1,OPAULINO,DESKTOP-DFEQDJR,0,0,131-34705-4
INESPRE NUEVA ADM.,GUBERNAMENTAL ALIMENTOS,ISABEL AGUIAR ,8096210020,RES,,,,,,2,300118368,3,0,NULL,,49:31.1,15:28.8,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
INESPRE PRESTACIONES LABORALES,0,0,0,0,,,,,,2,300118368,3,0,NULL,,47:57.5,47:57.5,1,flor,DESKTOP-MO25F8N,0,0,131-37045-4
INESPRE.,VENTA DE ALIMENTOS,BAVARO,8090000000,santo domingo,,,,,,2,300118368,3,2,NULL,,47:53.6,26:59.8,1,admin,DESKTOP-GSN33LR,0,0.5,131-37045-4
INESPRE..,SERVICIOS PUBLICOS,BAVARO,0,AAAAAAAAAAAAAAAAAAAA,,,,,,2,300118368,3,2,NULL,,00:44.9,27:09.3,1,ADMIN,USER-PC,0,0.5,131-37045-4
INESPRE...,VENTA DE ALIMENTOS,BAVARO,8090000000,xxxxxxxxxxxxxxxxxx,,,,,,2,300118368,3,2,NULL,,19:25.7,27:17.9,1,admin,DROSARIO01-PC,0,0.5,131-37045-4
INESPRE....,VENTA DE ALIMENTOS ,BAVARO,0,ccccccccccccccc,,,,,,2,300118368,3,2,NULL,,48:49.7,27:26.9,1,admin,DROSARIO01-PC,0,0.5,131-37045-4
INESPRE.....,VENTA DE ALIMENTOS ,BAVARO,0,ddddddddddddd,,,,,,2,300118368,3,2,NULL,,32:28.9,27:35.5,1,admin,DROSARIO01-PC,0,0.5,131-37045-4
INSTITUTO NACIONAL DE PATOLOGIA,PATOLOGIA,ARISTIDES FIELLO CABRAL ,8094767410,RECEPCION,,,,,,2,300118368,3,0,NULL,,29:19.9,01:25.7,0,drosario,TEMPORAL-PC,NULL,NULL,NULL
INVERCIONES AUSAN,POR CONFIRMAR,POR CONFIRMAR,0,,,,,,,2,300118368,2,0,NULL,,26:39.3,26:39.3,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
J PE베 CDR S.A,DESPACHO DE MERCANCIA,Avenidas Jhon f  kennedy esquina defillo,,,,,,,,1,24472460019,2,0,NULL,,35:06.7,45:01.6,1,Jalvarez,DESKTOP-48UJHBK,0,0,131-37045-4
JIMMY MODA SRL,VENTAS DE ROPAS Y CALZADOS,PROLONGACION 27 DE FEBRERO #85,8095446633,REC,,,,,,1,24472460019,2,0,NULL,,02:23.7,02:23.7,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
JOSE ARMENTERO Y COMPA벨A,PROVICIONES DE ALMACENES, E L Ekman 14 ,8095659971,REC,,,,,,2,300118368,2,0,NULL,,56:50.6,56:50.6,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
KARISMA CANCELADO FASE,HOTELERIA,BAVARO,0,0,,,,,,2,300118368,2,0,NULL,,14:06.4,47:41.9,1,mmoris,DESKTOP-GSN33LR,0,0.5,131-37045-4
